"product_name","category","revenue","units_sold"
"Canon imageCLASS 2200 Advanced Copier","Technology",61599.82,20
"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","Office Supplies",27453.38,31
"Cisco TelePresence System EX90 Videoconferencing Unit","Technology",22638.48,6
"HON 5400 Series Task Chairs for Big and Tall","Furniture",21870.58,39
"GBC DocuBind TL300 Electric Binding System","Office Supplies",19823.48,37
"GBC Ibimaster 500 Manual ProClick Binding System","Office Supplies",19024.50,48
"Hewlett Packard LaserJet 3310 Copier","Technology",18839.69,38
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color","Technology",18374.90,12
"GBC DocuBind P400 Electric Binding System","Office Supplies",17965.07,27
"High Speed Automatic Electric Letter Opener","Office Supplies",17030.31,11
