"month","profit","avg_margin_pct"
"2014-01",2450.19,12.86
"2014-02",862.31,5.18
"2014-03",498.73,13.10
"2014-04",3500.89,23.09
"2014-05",2738.71,12.08
"2014-06",4976.52,11.27
"2014-07",-841.48,7.76
"2014-08",5318.11,19.24
"2014-09",8328.10,11.77
"2014-10",3448.26,9.17
"2014-11",9292.13,13.41
"2014-12",8983.57,4.37
"2015-01",-3281.01,12.40
"2015-02",2813.85,16.66
"2015-03",9732.10,14.46
"2015-04",4187.50,3.77
"2015-05",4667.87,10.72
"2015-06",3335.56,12.23
"2015-07",3247.22,8.88
"2015-08",5355.81,11.48
"2015-09",8209.16,13.35
"2015-10",2817.37,8.93
"2015-11",12474.79,8.90
"2015-12",8016.97,18.01
"2016-01",2824.82,17.71
"2016-02",5004.58,18.45
"2016-03",3590.96,4.54
"2016-04",2923.07,13.15
"2016-05",8662.15,7.79
"2016-06",4750.38,14.72
"2016-07",4432.88,13.51
"2016-08",2062.07,8.55
"2016-09",9305.57,14.64
"2016-10",16243.14,13.81
"2016-11",4011.41,13.70
"2016-12",17802.26,15.37
"2017-01",7140.44,7.91
"2017-02",1613.87,6.24
"2017-03",14751.89,15.16
"2017-04",933.29,5.22
"2017-05",6342.58,10.06
"2017-06",8223.34,7.03
"2017-07",6952.62,15.41
"2017-08",9040.96,15.83
"2017-09",10991.56,14.89
"2017-10",9275.28,8.77
"2017-11",9532.23,11.17
"2017-12",8469.28,13.34
